llm_name,sentence,n_items,spearman_rho
GPT-2,He hated bees and feared encountering a,11,0.5629305356661883
GPT-2,Grace laughed when he referred to her as a,64,0.27160779595637335
GPT-2,The baby's face puckered when she ate something,6,0.0
GPT-2,The beach is the place we will usually,21,0.27072178615616144
GPT-2,"After waiting three hours, Cal whined and started to",17,0.11690102668360604
GPT-2,"While watching the funny movie, Kim was overcome with",7,0.4531634835874829
GPT-2,"Hearing noises from above, the confused man inspected the",21,-0.17588666697313537
GPT-2,The restaurants on the west end were very,28,0.25947783732771157
GPT-2,"Tim was very tired, so he was difficult to",42,0.008409357509652868
GPT-2,Jean was satisfied as her sculpture began to take,12,0.3269980288065564
GPT-2,"Pressed for time, Beth made a quick grocery",5,-0.15389675281277312
GPT-2,"A village was discovered between the mountains, in a",17,0.10559862254975413
GPT-2,David lost tug-of-war because he was too tired to,9,0.26893392279178174
GPT-2,The patient was angry for receiving the wrong,19,0.7597967683841216
GPT-2,Paige thought the color of the wall was rather,21,0.26398629644059923
GPT-2,The stockholders meeting started after a short,28,-0.07011235774489297
GPT-2,"A gardener, Harry likes to fertilize plants with",28,0.5734771736820468
GPT-2,Josie drank a large glass of milk every,5,0.5642880936468347
GPT-2,"Running low on cookies, the bakery needed a new",16,0.07680905262658302
GPT-2,The clothier grabbed a bolt of cloth from the,23,0.20317992816740282
GPT-2,The reckless driver drove too quickly around the,10,0.2808255735999376
GPT-2,The girls made beautiful designs on the street with,9,0.33947396811421626
GPT-2,Tom was told that this particular plant was a,46,0.16274092387766048
GPT-2,You could be seriously injured by a horse,20,0.030302197475173067
GPT-2,"As Aiden aged, he began to lose his",21,0.596513981116252
GPT-2,The horse broke the fence by kicking out his,19,0.41644411679160315
GPT-2,"After a long workday, Jack was excited to",19,0.3313040147202413
GPT-2,Daniel loved Annie and couldn't help but,30,0.11643503264848726
GPT-2,The sailor entered the deck after lifting the door's,22,0.08489131001581433
GPT-2,Allison did not like her husband calling her,37,0.1387852710678829
GPT-2,The impatient man kept glancing at his,4,-0.3333333333333334
GPT-2,The treasure chest didn't close because of a broken,8,0.18902439024390244
GPT-2,"Looking for local beer, people walked to the",10,0.7236283213214055
GPT-2,Isaiah loved to see the wild eagles,7,-0.6859943405700354
GPT-2,"After the marathon, Kelly dined at a buffet to",18,0.3973420654327844
GPT-2,The men wanted to fish but they had no,20,0.2529018631415161
GPT-2,Becca was disappointed that the free trip was a,22,-0.037067777823497426
GPT-2,Mother wouldn't let me wear it because of the,35,0.03877971522668589
GPT-2,They didn't stop working until the sun had,9,0.4655345401006845
GPT-2,"At the end of dinner, Jason picked up the",14,0.06788254584172862
GPT-2,The generous benefactor had lots of money to,13,0.3433112062590315
GPT-2,"At the landfill, Fred cut himself on a rusty",13,0.14376794688556896
GPT-2,The audio was normal but the video had a,31,0.04912803058960382
GPT-2,"After a day outside, Eric had sunburns on his",14,0.14479675067293862
GPT-2,"When the bomb detonated, people miles away heard the",8,0.3436164855716712
GPT-2,"When he got to work, the baker prepared fresh",17,0.2860035457822928
GPT-2,Michael went to the colosseum to watch a,14,0.06329142381651094
GPT-2,Joshua felt intense pain after hitting a,25,0.24562944710760343
GPT-2,Cameron laughed so hard he started to,13,0.4432427922434841
GPT-2,The heavy box had both a large volume and,24,0.41940132882196224
GPT-2,The strong landscaper removed the tree root after one,26,-0.11718466540672064
GPT-2,"After the vandal punctured the water tower, water began to",17,0.6108147482194365
GPT-2,"While eating the soup, Ariel could taste the",29,0.23130121283871555
GPT-2,The experienced farmer enjoyed working with,34,0.03478387961208318
GPT-2,"To get rid of emotional clutter, Will resolved to",45,0.21297280831697354
GPT-2,The coffee shop's corner booth was where Nicole always,16,0.22549476082776898
GPT-2,"On the cake, a candle was still",5,0.35909242322980395
GPT-2,My favorite place to go during summer is the,16,0.08648128134175526
GPT-2,Lacy said she was cool because she was a,51,0.3514831264852352
GPT-2,Bill couldn't fix the car without having the right,4,0.316227766016838
GPT-2,Nate doesn't make big decisions before giving them,15,0.09175180756425459
GPT-2,"When Kate took the call, she wrote a",9,0.39768716375299784
GPT-2,The fisherman caught a huge fish with the large,14,0.2878702232722778
GPT-2,The young boy's favorite animal was the,40,0.31828666634855696
GPT-2,The clever woman apprehended her assailant with,39,0.0184622673272948
GPT-2,The children enjoyed playing in the park with the,25,-0.022296114527122476
GPT-2,"At the beach, the woman enjoyed watching the",19,0.23747388374722783
GPT-2,Annie called an exterminator after spotting a,12,-0.2401588352258578
GPT-2,"Even with faced with tragedies, many people retain",32,0.2233153267033946
GPT-2,When she retired the CEO would live on a,14,0.09593535981256267
GPT-2,"To hold the bowstring, arrows have a small",29,-0.015720339268586275
GPT-2,Students were outraged over the administration's new,17,0.08768899430304836
GPT-2,Jacob's dog would bark if it wasn't regularly,14,0.14711542313568143
GPT-2,Katherine can't enter without the code for the,16,-0.1746603850058418
GPT-2,"Afraid of getting injured, Zach backed out of the",31,0.22075168235799483
GPT-2,Their garage band had finally gotten a real,20,0.09413337989211215
GPT-2,The little boy's dream was to eventually fly a,10,0.0919462140612284
GPT-2,Inflation caused the cost of living to,6,0.7164977208318386
