story,trigger,query,base_prefix,trigger_prefix,base_logprob_sum,base_logprob_mean,base_query_token_count,base_tokenization_mode,but_not_logprob_sum,but_not_logprob_mean,but_not_query_token_count,but_not_tokenization_mode,delta_logprob_sum,delta_logprob_mean
bag,cash,chalk,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not",-10.577948570251465,-10.577948570251465,1,exact_concat,-7.799445152282715,-7.799445152282715,1,exact_concat,2.77850341796875,2.77850341796875
bag,cash,crayons,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not",-8.648859080858529,-4.324429540429264,2,exact_concat,-7.563885705545545,-3.7819428527727723,2,exact_concat,1.084973375312984,0.542486687656492
bag,cash,headphones,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not",-13.077948570251465,-13.077948570251465,1,exact_concat,-11.393195152282715,-11.393195152282715,1,exact_concat,1.68475341796875,1.68475341796875
bag,cash,makeup,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not",-10.890448570251465,-10.890448570251465,1,exact_concat,-10.893195152282715,-10.893195152282715,1,exact_concat,-0.00274658203125,-0.00274658203125
bag,cash,pen,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have cash but not",-3.952948808670044,-3.952948808670044,1,exact_concat,-2.236945152282715,-2.236945152282715,1,exact_concat,1.716003656387329,1.716003656387329
bag,chalk,cash,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not",-13.577948570251465,-13.577948570251465,1,exact_concat,-12.234238624572754,-12.234238624572754,1,exact_concat,1.343709945678711,1.343709945678711
bag,chalk,crayons,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not",-8.648859080858529,-4.324429540429264,2,exact_concat,-5.342557951807976,-2.671278975903988,2,exact_concat,3.306301129050553,1.6531505645252764
bag,chalk,headphones,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not",-13.077948570251465,-13.077948570251465,1,exact_concat,-13.077988624572754,-13.077988624572754,1,exact_concat,-4.00543212890625e-05,-4.00543212890625e-05
bag,chalk,makeup,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not",-10.890448570251465,-10.890448570251465,1,exact_concat,-12.609238624572754,-12.609238624572754,1,exact_concat,-1.718790054321289,-1.718790054321289
bag,chalk,pen,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have chalk but not",-3.952948808670044,-3.952948808670044,1,exact_concat,-6.796738624572754,-6.796738624572754,1,exact_concat,-2.84378981590271,-2.84378981590271
bag,crayons,cash,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not",-13.577948570251465,-13.577948570251465,1,exact_concat,-12.919716835021973,-12.919716835021973,1,exact_concat,0.6582317352294922,0.6582317352294922
bag,crayons,chalk,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not",-10.577948570251465,-10.577948570251465,1,exact_concat,-6.8415913581848145,-6.8415913581848145,1,exact_concat,3.7363572120666504,3.7363572120666504
bag,crayons,headphones,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not",-13.077948570251465,-13.077948570251465,1,exact_concat,-11.904091835021973,-11.904091835021973,1,exact_concat,1.1738567352294922,1.1738567352294922
bag,crayons,makeup,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not",-10.890448570251465,-10.890448570251465,1,exact_concat,-11.591591835021973,-11.591591835021973,1,exact_concat,-0.7011432647705078,-0.7011432647705078
bag,crayons,pen,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have crayons but not",-3.952948808670044,-3.952948808670044,1,exact_concat,-4.4040913581848145,-4.4040913581848145,1,exact_concat,-0.4511425495147705,-0.4511425495147705
bag,headphones,cash,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not",-13.577948570251465,-13.577948570251465,1,exact_concat,-11.982380867004395,-11.982380867004395,1,exact_concat,1.5955677032470703,1.5955677032470703
bag,headphones,chalk,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not",-10.577948570251465,-10.577948570251465,1,exact_concat,-8.826130867004395,-8.826130867004395,1,exact_concat,1.7518177032470703,1.7518177032470703
bag,headphones,crayons,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not",-8.648859080858529,-4.324429540429264,2,exact_concat,-9.142092666355893,-4.5710463331779465,2,exact_concat,-0.4932335854973644,-0.2466167927486822
bag,headphones,makeup,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not",-10.890448570251465,-10.890448570251465,1,exact_concat,-11.951130867004395,-11.951130867004395,1,exact_concat,-1.0606822967529297,-1.0606822967529297
bag,headphones,pen,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have headphones but not",-3.952948808670044,-3.952948808670044,1,exact_concat,-3.2011311054229736,-3.2011311054229736,1,exact_concat,0.7518177032470703,0.7518177032470703
bag,makeup,cash,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have makeup but not",-13.577948570251465,-13.577948570251465,1,exact_concat,-11.624740600585938,-11.624740600585938,1,exact_concat,1.9532079696655273,1.9532079696655273
bag,makeup,chalk,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ","You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have makeup but not",-10.577948570251465,-10.577948570251465,1,exact_concat,-7.1872406005859375,-7.1872406005859375,1,exact_concat,3.3907079696655273,3.3907079696655273
