context,word,human_rank,model_value,model_rank,model,prompt_id,generation_prompt,sampling_logp,sampling_probability,sampling_vocab_rank,sampling_word_rank
bag,cash,5,-13.521199226379396,6.0,Qwen2-7B,prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",-14.542192459106445,1.638907171823421e-05,1163,5.0
bag,chalk,3,-10.427449226379396,3.0,Qwen2-7B,prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",-9.854692459106445,0.001779548134560126,44,3.0
bag,crayons,2,-8.56049167830497,2.0,Qwen2-7B,prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",-8.93966007232666,0.004443275643002748,22,2.0
bag,headphones,6,-12.989949226379396,5.0,Qwen2-7B,prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",-14.604692459106445,1.5396108059496114e-05,1254,6.0
bag,makeup,4,-10.802449226379396,4.0,Qwen2-7B,prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",-11.854692459106445,0.00024083565082388042,146,4.0
bag,pen,1,-3.864948749542236,1.0,Qwen2-7B,prompt_b1289cb8a28a6b86171f,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'Sure, I have ",-7.2296929359436035,0.024565892527279396,7,1.0
bakery,cakes,1,-3.573113441467285,1.0,Qwen2-7B,prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have ",-8.643065452575684,0.017627892676691674,8,1.0
bakery,ice cream,2,-3.7841689996421337,2.0,Qwen2-7B,prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have ",-9.210553169250488,0.009994098232857592,16,2.0
bakery,muffins,3,-5.70041938778013,3.0,Qwen2-7B,prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have ",-11.990091323852539,0.0006203053559774147,166,3.0
bakery,pretzels,4,-7.723241895946558,4.0,Qwen2-7B,prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have ",-12.066003799438477,0.0005749593777159185,177,4.0
bakery,sandwiches,5,-9.229363441467283,5.0,Qwen2-7B,prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have ",-13.643065452575684,0.00011877580656111537,519,6.0
bakery,water,6,-9.573113441467283,6.0,Qwen2-7B,prompt_fc397a1a3f6733ca216c,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'Sure, they have ",-12.643065452575684,0.00032286611663564656,270,5.0
beach,bikini,1,-2.94836974143982,1.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-8.311445236206055,0.005482570699154151,25,3.0
beach,coat,6,-8.604619979858398,6.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-11.092695236206055,0.0003397056052541757,287,6.0
beach,jacket,5,-7.760869979858398,5.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-10.030195236206055,0.000982970761575896,124,5.0
beach,jeans,4,-5.573369979858398,3.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-8.217695236206055,0.006021425929568092,22,2.0
beach,shorts,2,-3.6983697414398193,2.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-5.873945236206055,0.06274469901841843,3,1.0
beach,sunglasses,3,-6.573369979858398,4.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-8.717695236206055,0.0036521794414716914,36,4.0
