schema_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,human_outcome,human_yes,human_total,human_rate,human_count_status,trigger_logprob_sum,query_logprob_sum,trigger_logprob_mean,query_logprob_mean,trigger_token_count,query_token_count,trigger_tokenization_mode,query_tokenization_mode,x_but_not_y_applicable,x_but_not_y_prompt,x_but_not_y_logprob_sum,x_but_not_y_logprob_mean,x_but_not_y_token_count,x_but_not_y_tokenization_mode,model_name,model_revision,model_provenance_complete,source_human_file,source_score_file,experiment
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::01,item::01,ESI::01,no_frame,Drinking is ,allowed,obligatory,query_excluded,33,40,0.825,exact,-5.536286354064941,-10.23941135406494,-5.536286354064941,-10.23941135406494,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::02,item::02,ESI::02,no_frame,This model is ,attractive,stunning,query_excluded,2,40,0.05,exact,-9.646361351013184,-7.896361351013184,-9.646361351013184,-7.896361351013184,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::03,item::03,ESI::03,no_frame,John ,began,completed,query_excluded,8,40,0.2,exact,-7.773036956787109,-8.17928695678711,-7.773036956787109,-8.17928695678711,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::04,item::04,ESI::04,no_frame,The teacher ,believes,knows,query_excluded,25,40,0.625,exact,-8.587377548217773,-6.837377548217773,-8.587377548217773,-6.837377548217773,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::05,item::05,ESI::05,no_frame,The elephant is ,big,enormous,query_excluded,2,40,0.05,exact,-4.639091491699219,-8.732841491699219,-4.639091491699219,-8.732841491699219,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::06,item::06,ESI::06,no_frame,The weather is ,cool,cold,query_excluded,17,40,0.425,exact,-5.264472007751465,-4.014472007751465,-5.264472007751465,-4.014472007751465,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::07,item::07,ESI::07,no_frame,The machine might ,damage,destroy,query_excluded,15,40,0.375,exact,-7.55837869644165,-7.83962869644165,-7.55837869644165,-7.83962869644165,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::08,item::08,ESI::08,no_frame,The sky is ,dark,black,query_excluded,11,40,0.275,exact,-3.91940975189209,-5.10690975189209,-3.91940975189209,-5.10690975189209,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::09,item::09,ESI::09,no_frame,The task is ,difficult,impossible,query_excluded,28,40,0.7,exact,-10.161803245544434,-11.849303245544434,-10.161803245544434,-11.849303245544434,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::10,item::10,ESI::10,no_frame,Zack's carpet was ,dirty,filthy,query_excluded,3,40,0.075,exact,-5.175867080688477,-9.925867080688477,-5.175867080688477,-9.925867080688477,1,1,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
1.1,ronai_xiang_2024,ronai_xiang_2024,ESI,ESI::11,item::11,ESI::11,no_frame,The doctor ,dislikes,loathes,query_excluded,9,40,0.225,exact,-12.733724594116213,-16.040752675384283,-12.733724594116213,-5.346917558461428,1,3,exact_concat,exact_concat,False,,,,,,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/human_model_analysis/human_response_rates_by_item_condition.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv,experiment_1
