manifest_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,analysis_inclusion_status,has_hu_test_suite,source_prompt_file,source_row_id,prompt_provenance,trigger_token_ids_json,trigger_tokens_json,trigger_token_logprobs_json,trigger_token_count,trigger_logprob_sum,trigger_logprob_mean,trigger_tokenization_mode,query_token_ids_json,query_tokens_json,query_token_logprobs_json,query_token_count,query_logprob_sum,query_logprob_mean,query_tokenization_mode,query_minus_trigger_logprob_sum,query_minus_trigger_logprob_mean,scoring_row_key,scored_candidate_roles,scorer_version,manifest_sha256,model_identifier,model_revision,model_revision_source,resolved_model_path,tokenizer_name_or_path,tokenizer_class,model_class,requested_dtype,actual_model_dtype,device_map,local_files_only,torch_version,transformers_version,scored_at_utc
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_001__template_default__attractive_stunning::x_but_not_y,g18::attractive/stunning,g18_001,x_but_not_y,"He is attractive, but not ",attractive,stunning,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_001__template_default__attractive_stunning,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[19850],"[""Ġstunning""]",[-6.445921897888184],1,-6.445921897888184,-6.445921897888184,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_001__template_default__attractive_stunning::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.513078+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_002__template_default__drunk_plastered::x_but_not_y,g18::drunk/plastered,g18_002,x_but_not_y,"He is drunk, but not ",drunk,plastered,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_002__template_default__drunk_plastered,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,"[61927, 291]","[""Ġplaster"", ""ed""]","[-10.539263725280762, -0.0021414461079984903]",2,-10.54140517138876,-5.27070258569438,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_002__template_default__drunk_plastered::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.598882+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_003__template_default__thin_skinny::x_but_not_y,g18::thin/skinny,g18_003,x_but_not_y,"She is thin, but not ",thin,skinny,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_003__template_default__thin_skinny,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[47677],"[""Ġskinny""]",[-4.904987335205078],1,-4.904987335205078,-4.904987335205078,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_003__template_default__thin_skinny::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.637749+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_004__template_default__transparent_crystal clear::x_but_not_y,g18::transparent/crystal clear,g18_004,x_but_not_y,"It is transparent, but not ",transparent,crystal clear,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_004__template_default__transparent_crystal clear,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,"[25055, 2797]","[""Ġcrystal"", ""Ġclear""]","[-4.75430965423584, -0.3948366343975067]",2,-5.149146288633347,-2.5745731443166733,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_004__template_default__transparent_crystal clear::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.707668+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_005__template_default__ajar_open::x_but_not_y,g18::ajar/open,g18_005,x_but_not_y,"It is ajar, but not ",ajar,open,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_005__template_default__ajar_open,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[1787],"[""Ġopen""]",[-1.5423088073730469],1,-1.5423088073730469,-1.5423088073730469,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_005__template_default__ajar_open::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.744911+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_006__template_default__big_enormous::x_but_not_y,g18::big/enormous,g18_006,x_but_not_y,"She is big, but not ",big,enormous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_006__template_default__big_enormous,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[22399],"[""Ġenormous""]",[-8.343681335449219],1,-8.343681335449219,-8.343681335449219,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_006__template_default__big_enormous::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.782107+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_007__template_default__dirty_filthy::x_but_not_y,g18::dirty/filthy,g18_007,x_but_not_y,"It is dirty, but not ",dirty,filthy,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_007__template_default__dirty_filthy,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[77342],"[""Ġfilthy""]",[-4.236985206604004],1,-4.236985206604004,-4.236985206604004,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_007__template_default__dirty_filthy::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.819192+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_008__template_default__fat_obese::x_but_not_y,g18::fat/obese,g18_008,x_but_not_y,"He is fat, but not ",fat,obese,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_008__template_default__fat_obese,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[49220],"[""Ġobese""]",[-4.771740913391113],1,-4.771740913391113,-4.771740913391113,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_008__template_default__fat_obese::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.856273+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_009__template_default__tasty_delicious::x_but_not_y,g18::tasty/delicious,g18_009,x_but_not_y,"That is tasty, but not ",tasty,delicious,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_009__template_default__tasty_delicious,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[17923],"[""Ġdelicious""]",[-5.0714898109436035],1,-5.0714898109436035,-5.0714898109436035,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_009__template_default__tasty_delicious::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.893099+00:00
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_010__template_default__damaged_broken::x_but_not_y,g18::damaged/broken,g18_010,x_but_not_y,"It is damaged, but not ",damaged,broken,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_010__template_default__damaged_broken,hu_test_suite_region_5;query_only_standardized_rescore,,,,,,,,[10865],"[""Ġbroken""]",[-2.3310701847076416],1,-2.3310701847076416,-2.3310701847076416,exact_concat,,,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18__g18_010__template_default__damaged_broken::x_but_not_y""]",query_only,1.1,4098ae14e2471f7044525b70aa5fd58e42a26ea55414f045666b22d28357ac97,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T18:09:35.930230+00:00
