set_boundary,context,trigger,query,reason
3,bag,pen,makeup,query_not_in_context
3,bag,cash,headphones,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,headphones,pen,trigger_not_in_context
3,bag,cash,headphones,query_not_in_context
3,bag,headphones,chalk,trigger_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,crayons,headphones,query_not_in_context
3,bag,crayons,makeup,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,pen,makeup,query_not_in_context
3,bag,headphones,pen,trigger_not_in_context
3,bag,chalk,headphones,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,makeup,crayons,trigger_not_in_context
3,bag,makeup,pen,trigger_not_in_context
3,bag,pen,headphones,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,pen,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,pen,headphones,query_not_in_context
3,bag,headphones,makeup,query_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,crayons,makeup,query_not_in_context
3,bag,crayons,cash,query_not_in_context
3,bag,cash,pen,trigger_not_in_context
3,bag,chalk,makeup,query_not_in_context
3,bag,headphones,chalk,trigger_not_in_context
3,bag,pen,headphones,query_not_in_context
3,bag,makeup,cash,query_not_in_context
3,bag,headphones,crayons,trigger_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,cash,makeup,query_not_in_context
3,bag,makeup,pen,trigger_not_in_context
3,bag,crayons,headphones,query_not_in_context
3,bag,cash,chalk,trigger_not_in_context
3,bag,headphones,cash,query_not_in_context
3,bag,chalk,cash,query_not_in_context
3,bag,makeup,crayons,trigger_not_in_context
