context,word,human_mean_item_rate,human_yes,human_total,human_min_item_rate,human_max_item_rate,No linking,X but not Y,Ordering,Set Top-K,Conjunction Top-K,Disjunction Top-K,Set Top-p,Conjunction Top-p,Disjunction Top-p,human_pooled_trial_rate,human_rank,model_value,model_rank,model,prompt_id,generation_prompt,sampling_logp,sampling_probability,sampling_vocab_rank,sampling_word_rank
beach,bikini,0.95,21,22,0.75,1.0,0.05242510279264671,0.0005880411724839234,0.588,0.616,0.42919999999999997,0.7748,0.748,0.49400000000000005,0.842,0.9545454545454546,1,-2.94836974143982,1.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-8.311445236206055,0.005482570699154151,25,3.0
beach,shorts,0.76,29,39,0.5,1.0,0.024763865083255884,0.024209933014903207,0.9443999999999999,1.0,0.9443999999999999,1.0,1.0,0.9443999999999999,1.0,0.7435897435897436,2,-3.6983697414398193,2.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-5.873945236206055,0.06274469901841843,3,1.0
beach,sunglasses,0.21333333333333332,9,49,0.0,0.5,0.0013970813340994986,0.00028230244310852633,0.484,0.43200000000000005,0.2812,0.6348,0.582,0.34920000000000007,0.7168,0.1836734693877551,3,-6.573369979858398,4.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-8.717695236206055,0.0036521794414716914,36,4.0
beach,jeans,0.51,26,53,0.45,0.6,0.003797660803361987,0.0005169579210263031,0.6188,0.688,0.4864,0.8204,0.8160000000000001,0.5516,0.8832000000000001,0.49056603773584906,4,-5.573369979858398,3.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-8.217695236206055,0.006021425929568092,22,2.0
beach,jacket,0.3690909090909091,12,30,0.0,0.8,0.00042608573338820556,5.097793222466235e-05,0.2676,0.182,0.11639999999999999,0.3332,0.21800000000000003,0.1336,0.352,0.4,5,-7.760869979858398,5.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-10.030195236206055,0.000982970761575896,124,5.0
beach,coat,0.5366666666666666,10,20,0.0,1.0,0.00018325719038345763,6.263467963940787e-06,0.0972,0.07,0.044800000000000006,0.1224,0.094,0.055600000000000004,0.1356,0.5,6,-8.604619979858398,6.0,Qwen2-7B,prompt_d5e51b3e9c6edaa814d6,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'Sure, I have my ",-11.092695236206055,0.0003397056052541757,287,6.0
cold,heater,0.86,18,22,0.5,1.0,0.18304599194425594,0.0006840909833732595,0.9964000000000001,0.9960000000000001,0.9924,1.0,1.0,0.9964000000000001,1.0,0.8181818181818182,1,-1.6980178356170654,1.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-6.942777156829834,0.030007167787726705,6,1.0
cold,blankets,0.54,23,34,0.3333333333333333,0.8333333333333334,7.566589851084239e-06,0.00038753758832465405,0.12079999999999999,0.002,0.0016,0.1212,0.004,0.0028,0.122,0.6764705882352942,2,-11.791768074035645,5.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-15.614652633666992,5.141352008367422e-06,5416,6.0
cold,tea,0.205,10,52,0.0,0.5,5.282331033596424e-06,1.2240548692447429e-05,0.1812,0.004,0.0036000000000000003,0.1816,0.004,0.0036000000000000003,0.1816,0.19230769230769232,3,-12.151143074035645,6.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-14.942777633666992,1.0066278562005595e-05,3605,5.0
cold,microwave,0.28434389140271493,19,45,0.0,0.6923076923076923,0.00037615168663119176,4.787278421480214e-05,0.7576,0.142,0.11599999999999999,0.7836000000000001,0.174,0.1416,0.79,0.4222222222222222,4,-7.8855180740356445,3.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-10.755277633666992,0.0006629443708926633,150,2.0
cold,sink,0.047619047619047616,5,38,0.0,0.23809523809523808,9.81250302054365e-05,1.984579353424107e-06,0.418,0.008,0.0064,0.4196,0.012,0.0092,0.4208,0.13157894736842105,5,-9.229268074035645,4.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-13.505277633666992,4.238061573019425e-05,1470,4.0
cold,fridge,0.15,3,22,0.0,0.5,0.0008476709110923122,7.340468921130584e-05,0.526,0.018,0.014799999999999999,0.5292,0.028000000000000004,0.0228,0.5312,0.13636363636363635,6,-7.0730180740356445,2.0,Qwen2-7B,prompt_e5b13e89443f16745c5d,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'Sure, they have a ",-12.755277633666992,8.97197642048766e-05,826,3.0
