manifest_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,analysis_inclusion_status,has_hu_test_suite,source_prompt_file,source_row_id,prompt_provenance,trigger_token_ids_json,trigger_tokens_json,trigger_token_logprobs_json,trigger_token_count,trigger_logprob_sum,trigger_logprob_mean,trigger_tokenization_mode,query_token_ids_json,query_tokens_json,query_token_logprobs_json,query_token_count,query_logprob_sum,query_logprob_mean,query_tokenization_mode,query_minus_trigger_logprob_sum,query_minus_trigger_logprob_mean,scoring_row_key,scorer_version,manifest_sha256,model_identifier,model_revision,model_revision_source,resolved_model_path,tokenizer_name_or_path,tokenizer_class,model_class,requested_dtype,actual_model_dtype,device_map,local_files_only,torch_version,transformers_version,scored_at_utc
1.0,hu_2023_benchmark,g18,scalar_inference,g18_001,g18::attractive/stunning,g18_001,no_frame,He is ,attractive,stunning,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_001,weak_sentence_slot_from_first_clause,[18879],"[""Ġattractive""]",[-9.493115425109863],1,-9.493115425109863,-9.493115425109863,exact_concat,[19850],"[""Ġstunning""]",[-12.254834175109863],1,-12.254834175109863,-12.254834175109863,exact_concat,-2.76171875,-2.76171875,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_001""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_002,g18::drunk/plastered,g18_002,no_frame,He is ,drunk,plastered,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_002,weak_sentence_slot_from_first_clause,[28750],"[""Ġdrunk""]",[-9.493115425109863],1,-9.493115425109863,-9.493115425109863,exact_concat,"[61927, 291]","[""Ġplaster"", ""ed""]","[-13.993115425109863, -1.4022350311279297]",2,-15.395350456237793,-7.6976752281188965,exact_concat,-5.90223503112793,1.7954401969909668,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_002""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_008,g18::fat/obese,g18_008,no_frame,He is ,fat,obese,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_008,weak_sentence_slot_from_first_clause,[8664],"[""Ġfat""]",[-8.977490425109863],1,-8.977490425109863,-8.977490425109863,exact_concat,[49220],"[""Ġobese""]",[-11.018506050109863],1,-11.018506050109863,-11.018506050109863,exact_concat,-2.041015625,-2.041015625,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_008""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_013,g18::happy/delighted,g18_013,no_frame,He is ,happy,delighted,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_013,weak_sentence_slot_from_first_clause,[6247],"[""Ġhappy""]",[-6.493115425109863],1,-6.493115425109863,-6.493115425109863,exact_concat,[33972],"[""Ġdelighted""]",[-8.352490425109863],1,-8.352490425109863,-8.352490425109863,exact_concat,-1.859375,-1.859375,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_013""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_014,g18::intelligent/brilliant,g18_014,no_frame,He is ,intelligent,brilliant,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_014,weak_sentence_slot_from_first_clause,[24514],"[""Ġintelligent""]",[-7.586865425109863],1,-7.586865425109863,-7.586865425109863,exact_concat,[19752],"[""Ġbrilliant""]",[-8.743115425109863],1,-8.743115425109863,-8.743115425109863,exact_concat,-1.15625,-1.15625,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_014""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_016,g18::ugly/hideous,g18_016,no_frame,He is ,ugly,hideous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_016,weak_sentence_slot_from_first_clause,[27261],"[""Ġugly""]",[-10.422802925109863],1,-10.422802925109863,-10.422802925109863,exact_concat,"[10265, 782]","[""Ġhide"", ""ous""]","[-13.071240425109863, -0.3040303587913513]",2,-13.375270783901215,-6.687635391950607,exact_concat,-2.9524678587913513,3.735167533159256,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_016""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_017,g18::unkind/nasty,g18_017,no_frame,He is ,unkind,nasty,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_017,weak_sentence_slot_from_first_clause,"[650, 15314]","[""Ġun"", ""kind""]","[-8.961865425109863, -4.622336387634277]",2,-13.58420181274414,-6.79210090637207,exact_concat,[34407],"[""Ġnasty""]",[-12.563427925109863],1,-12.563427925109863,-12.563427925109863,exact_concat,1.0207738876342773,-5.771327018737793,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_017""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_020,g18::content/happy,g18_020,no_frame,He is ,content,happy,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_020,weak_sentence_slot_from_first_clause,[2213],"[""Ġcontent""]",[-9.743115425109863],1,-9.743115425109863,-9.743115425109863,exact_concat,[6247],"[""Ġhappy""]",[-6.493115425109863],1,-6.493115425109863,-6.493115425109863,exact_concat,3.25,3.25,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_020""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_024,g18::sickish/sick,g18_024,no_frame,He is ,sickish,sick,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_024,weak_sentence_slot_from_first_clause,"[14036, 812]","[""Ġsick"", ""ish""]","[-7.930615425109863, -11.6463623046875]",2,-19.576977729797363,-9.788488864898682,exact_concat,[14036],"[""Ġsick""]",[-7.930615425109863],1,-7.930615425109863,-7.930615425109863,exact_concat,11.6463623046875,1.8578734397888184,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_024""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
1.0,hu_2023_benchmark,g18,scalar_inference,g18_030,g18::tired/exhausted,g18_030,no_frame,He is ,tired,exhausted,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_030,weak_sentence_slot_from_first_clause,[19227],"[""Ġtired""]",[-6.836865425109863],1,-6.836865425109863,-6.836865425109863,exact_concat,[37919],"[""Ġexhausted""]",[-9.602490425109863],1,-9.602490425109863,-9.602490425109863,exact_concat,-2.765625,-2.765625,"[""hu_2023_benchmark"",""g18"",""scalar_inference"",""g18_030""]",1.0,77ae6bd5271ace94df0cc6b1b07dc3baf54751015f3b9eee2ec7b859266a647b,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,huggingface_cache_ref_main,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,Qwen2TokenizerFast,Qwen2ForCausalLM,bfloat16,bfloat16,auto,True,2.3.0+cu121,4.56.2,2026-07-13T17:44:09.914991+00:00
