context,model,structure,variant,n,spearman_rho,status
bag,Qwen2-7B,No linking structure,direct,30,0.8744241090305217,defined
bag,Qwen2-7B,X but not Y,direct,30,0.7464248230249991,defined
bag,Qwen2-7B,conjunction,top_k,30,0.8867380817968508,defined
bag,Qwen2-7B,conjunction,top_p,30,0.8727404522189435,defined
bag,Qwen2-7B,disjunction,top_k,30,0.8071163973430084,defined
bag,Qwen2-7B,disjunction,top_p,30,0.7412298976310787,defined
bag,Qwen2-7B,ordering,top_k,30,0.7411113786657259,defined
bag,Qwen2-7B,ordering,top_p,30,0.7411113786657259,defined
bag,Qwen2-7B,set,top_k,30,0.8604519528276371,defined
bag,Qwen2-7B,set,top_p,30,0.8552937845899925,defined
bakery,Qwen2-7B,No linking structure,direct,30,0.9230067218992806,defined
bakery,Qwen2-7B,X but not Y,direct,30,0.7417807550026326,defined
bakery,Qwen2-7B,conjunction,top_k,30,0.7700284564604594,defined
bakery,Qwen2-7B,conjunction,top_p,30,0.7725917346259785,defined
bakery,Qwen2-7B,disjunction,top_k,30,0.70121797884315,defined
bakery,Qwen2-7B,disjunction,top_p,30,0.6997524107201659,defined
bakery,Qwen2-7B,ordering,top_k,30,0.641621951528608,defined
bakery,Qwen2-7B,ordering,top_p,30,0.641621951528608,defined
bakery,Qwen2-7B,set,top_k,30,0.8750286497213476,defined
bakery,Qwen2-7B,set,top_p,30,0.8750286497213476,defined
beach,Qwen2-7B,No linking structure,direct,30,0.5079179812745017,defined
beach,Qwen2-7B,X but not Y,direct,30,0.3536858079357211,defined
beach,Qwen2-7B,conjunction,top_k,30,0.33372417891181577,defined
beach,Qwen2-7B,conjunction,top_p,30,0.32136402413730414,defined
beach,Qwen2-7B,disjunction,top_k,30,0.32136990683707034,defined
beach,Qwen2-7B,disjunction,top_p,30,0.3292889341264009,defined
beach,Qwen2-7B,ordering,top_k,30,0.302969867157255,defined
beach,Qwen2-7B,ordering,top_p,30,0.302969867157255,defined
beach,Qwen2-7B,set,top_k,30,0.30976163880418034,defined
beach,Qwen2-7B,set,top_p,30,0.30976163880418034,defined
cold,Qwen2-7B,No linking structure,direct,30,0.24968933431379264,defined
cold,Qwen2-7B,X but not Y,direct,30,0.7614782308447812,defined
cold,Qwen2-7B,conjunction,top_k,30,0.2728205422082673,defined
cold,Qwen2-7B,conjunction,top_p,30,0.3062048608840238,defined
cold,Qwen2-7B,disjunction,top_k,30,0.2250899602656909,defined
cold,Qwen2-7B,disjunction,top_p,30,0.23120914092893427,defined
cold,Qwen2-7B,ordering,top_k,30,0.25121344627632247,defined
cold,Qwen2-7B,ordering,top_p,30,0.25121344627632247,defined
cold,Qwen2-7B,set,top_k,30,0.18525337707152356,defined
cold,Qwen2-7B,set,top_p,30,0.24224394047495304,defined
cut,Qwen2-7B,No linking structure,direct,30,0.727189367224505,defined
