prompt_id,generation_prompt
prompt_00fcbca27c180dbc2d8e,"Sue: Was the winner happy?
Mary: The winner was "
prompt_02664c8f3dbdcb0f53a2,that mirror is 
prompt_02c63b2172f6c288744a,"Sue: Was Chris's opponent intimidating?
Mary: Chris's opponent was "
prompt_042e0868e1132ca3a628,the mother 
prompt_04d2384fea57da279882,The results were 
prompt_053662257d9948468d43,The sand was 
prompt_06692c036c31ce17278e,The task is 
prompt_06e5454d12ae4fdc4a59,Chris's opponent was 
prompt_0735d3ea2ba349250fe1,the observer saw 
prompt_07d816e1de5ce39e7e94,The movement was 
prompt_0a3370f683f7d2e1ec45,Everyone saw Wonder Woman 
prompt_0aa8db3e6ebab8794771,this glove is 
prompt_0b3df724239c8875748e,"Sue: Are the residents exclusively Greek?
Mary: The residents are "
prompt_0b753bd8fdc518f6a507,The boy is 
prompt_0b93613ae6c4e681296c,"Sue: Is this model stunning?
Mary: This model is "
prompt_0bbe81e1df686546a756,His girlfriend was 
prompt_0cb5262612a78b4cdc39,The girl is 
prompt_0cce8bf6b8ac187413a7,"Sue: Did the train slow down?
Mary: The train "
prompt_0d93bb0c063facbc35e3,"Sue: Was Zack's carpet filthy?
Mary: Zack's carpet was "
prompt_0db43f7d800b9b92f666,the nurse saw 
prompt_0dd418b630c0593430bc,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'Sure, they have "
prompt_0e09cc2e8888b48393b2,The music was 
prompt_0f186d46d95f1a800470,the solution is 
prompt_0f2d6d33c2d58294fdef,The wine is 
prompt_10513091a7c3e569afbd,this fish is 
prompt_10ff26381aea290f9893,The woman was 
prompt_12264f37f4a88235f85c,the air is 
prompt_1289bd93b82b3a1f5223,failing is 
prompt_13240e3a8bb3ecd078af,The coast was 
prompt_13e0a61ad9e1e7a1a68d,"Sue: Did the plant survive?
Mary: The plant "
prompt_140aab184958ef7b4c06,The writer was 
prompt_166d78d2a7994d7f4fca,The movie is 
prompt_1726c74183f5605e9380,copying is 
prompt_174d6ce179ddd97c9696,"Sue: Is the wather hot?
Mary: The wather is "
prompt_17f792bd12bd5ac5e580,The test was 
prompt_1a12b9d966441e5f0036,The doctor 
prompt_1a1740d8ce2ee1c5c023,"Sue: Will a delay probably occur?
Mary: A delay will "
prompt_1ab25cbf80246cac5881,Stu's daughter was 
prompt_1adc9408a04759114c3c,"Sue: Do Joey's parents encourage dating?
Mary: Joey's parents "
prompt_1b978122a2020f120028,The restaurant was 
prompt_1bae3728ee33e79bd9d0,The idea was 
prompt_1be9e092c61e1b72438e,The crowd was 
prompt_1cdfe9cb425f2858c3a7,the view is 
prompt_1eaf69a2762f15937455,the dancer 
prompt_1fc81b41052f866cdb7e,"Sue: Is the sky black?
Mary: The sky is "
prompt_20686c4bc477920b48f1,The village was 
prompt_209a223912a6f1283004,"Sue: Does the club permit dancing?
Mary: The club "
prompt_20cce8f1b2f71226fa3e,the biologist saw 
prompt_2283f8f6e027870a69f3,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'Sure, they have "
prompt_22aaf212f7471342e37a,the runner 
prompt_23692ec0a817e0142608,"Sue: Is the student brilliant?
Mary: The student is "
prompt_23cd377ebb3b02fb98c9,"Sue: Did the runner start?
Mary: The runner "
prompt_23d333a041daa75094e7,The residents are 
prompt_2448a7424ef71d42a869,"Sue: Was Ann's speech impeccable?
Mary: Ann's speech was "
prompt_24d25b858ddf612defad,"Sue: Is the worker exhausted?
Mary: The worker is "
prompt_24f17fdaf7a9a606dc4d,His coat was 
prompt_254e6a34399f82c3d892,the gas is 
prompt_278bce34e943a238094a,"Sue: Is the tank partially full?
Mary: The tank is "
prompt_28cd3106cd87a4a16d3a,"Sue: Might the machine destroy itself?
Mary: The machine might "
prompt_2b894edfe9ee13f51831,The paint was 
prompt_2c0dc59f6606aff02f49,The movie was 
prompt_2d114ad70f618a11c111,The man was 
prompt_2d43afc9f37c35619745,"Sue: Did John begin the race?
Mary: John "
prompt_2f38c14b59ad3710382f,"Sue: Is success possible?
Mary: Success is "
prompt_2f3caef135aa9a848bf4,"Sue: Is the movie excellent?
Mary: The movie is "
prompt_2fdaae5939867fc902f6,the boy 
prompt_305b2035d30cdfd739c6,A delay will 
prompt_30cf93c1195d5b9ed158,"Sue: Did the rehearsal go superbly?
Mary: The rehearsal went "
prompt_3194e0da7154e8bdba3e,The rehearsal went 
prompt_320612dfb661a9cd2f3b,"Sue: Is the waiter eager?
Mary: The waiter is "
prompt_324a682db5923cbe3676,"Sue: Was the winner ecstatic?
Mary: The winner was "
prompt_32ce4da167dc3c2174a7,The plant 
prompt_3425a40526978196a350,The wallpaper is 
prompt_344efcc7e201469e692a,"Sue: Is that candidate equally skilled?
Mary: That candidate is "
prompt_3549ede9573c552fb149,The water was 
prompt_3622b2dc937ddcfab3b3,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'Sure, this mall has a "
prompt_37266f2f0cd8daf92dd4,"Sue: Is the teenager obese?
Mary: The teenager is "
prompt_388888845d0888eb59cc,the quarterback is 
prompt_38daba43804ff922ba32,"Sue: Is the girl beautiful?
Mary: The girl is "
prompt_38ec4d24956b54433acd,that elephant is 
prompt_38fc1c18c8f8cfadb26a,"Sue: Did the city reduce waste?
Mary: The city "
prompt_398aa6ce6e5fbd1a847b,"Sue: Is this model attractive?
Mary: This model is "
prompt_39b3fb324282c6dc50a2,"Sue: Did the plant thrive?
Mary: The plant "
prompt_3aba34f9f5cd8bad2888,"Sue: Is the toxin harmful?
Mary: The toxin is "
prompt_3bfc37193b201d696558,the student 
prompt_3c636ba7364549b3c927,"Sue: Was the coast largely flooded?
Mary: The coast was "
prompt_3e86e8ff5ab294e66f88,The building was 
prompt_3f4165674fc70d33f862,"Sue: Did the candidate try?
Mary: The candidate "
prompt_3f77c43e49906f041db0,the room is 
prompt_41806a639329bd2f1ba1,this picture is 
prompt_41ad60173d9be01fa4db,"Sue: Is the boy starving?
Mary: The boy is "
prompt_4238bcfdbf02089653bf,"Sue: Is the wallpaper hideous?
Mary: The wallpaper is "
prompt_43f7962a774c6981785e,"Sue: Was Tim's bathroom disgusting?
Mary: Tim's bathroom was "
prompt_44613bb7e811db7749db,this party is 
prompt_45589ec464e7c1a4bd55,"Sue: Are the two paintings similar?
Mary: The two paintings are "
prompt_4653ed50b98f0ec3ea7c,Jimmy writes books 
prompt_4707e633f2ec46c31d01,"Sue: Were Peter's answers mostly wrong?
Mary: Peter's answers were "
prompt_4813211589e4a412af7d,"Sue: Is the tank completely full?
Mary: The tank is "
prompt_4893e801b71745885798,this movie is 
prompt_4b013d60a251cd341cf8,"Sue: Will a delay necessarily occur?
Mary: A delay will "
prompt_4bc3eb6fdbcda8fe1412,success is 
prompt_4cc656298c8e6a68289e,This model is 
prompt_4d1e043e6e4822d516c8,the teacher 
prompt_4e46ce3dcda426b5f96b,this joke is 
prompt_501eb5cf496b8e6de236,the mathematician saw 
prompt_502dd2ff5a37ca2e0cd3,that problem is 
prompt_51e155f5fcfa2891ea62,The cult was 
prompt_524153de25e6ceff3d6e,"Sue: Was Zack's carpet dirty?
Mary: Zack's carpet was "
prompt_530c673f2b0bcbfc970d,"Sue: Is the student intelligent?
Mary: The student is "
prompt_545e99a94cd3277336ba,That candidate is 
prompt_56343fbf5be47438db59,that song is 
prompt_56c129d04dd821012306,"Sue: Does Bill's score match Al's?
Mary: Bill's score "
prompt_56efa73860459df46fb5,the runner is 
prompt_580930ed2328c7e847c9,"Sue: Was Tom's interview articulate?
Mary: Tom's interview was "
prompt_58798cae89123fd97c37,"Sue: Is the teenager overweight?
Mary: The teenager is "
prompt_589d7f57d71a4c2efd9b,John 
prompt_592733e01f7163b01f24,this bird is 
prompt_599c4799a2f4855b6272,drinking is 
prompt_59c09b6af0267c5fa0f3,"Sue: Is the toxin deadly?
Mary: The toxin is "
prompt_5a66e35a03647ad63fc9,the dog 
prompt_5ab8f22986c662e19baa,"Sue: Does Bill's score exceed Al's?
Mary: Bill's score "
prompt_5b05526d5984ccdada2b,"Sue: Is the sky dark?
Mary: The sky is "
prompt_5b4bafe52d36709c7347,the princess 
prompt_5c30cda77a6fe9b79a64,The staff were 
prompt_5c57e481bdb11271e9ca,Peter's answers were 
prompt_5c935bd5be540239ede7,Mistakes happened 
prompt_5d3a9f03ba6ac59eb6f5,"Sue: Does Cecilia trust all politicians?
Mary: Cecilia trusts "
prompt_5dd80f11d6da80aeed3c,"Sue: Is the shirt snug?
Mary: The shirt is "
prompt_5e7843f716d2765770a6,His style was 
prompt_5ebb482fbc5e05dcf343,the water is 
prompt_609ebcb01c16884d0a9b,The worker is 
prompt_61d855467faef22dda02,Bill's score 
prompt_6221a2fa0be7cf08f388,the house is 
prompt_637f3ba213712824d624,"Sue: Is the problem hard?
Mary: The problem is "
prompt_640423a416c4e3cdc50d,the salary is 
prompt_64d2dffa827be493405d,Success is 
prompt_657c1e9c064cbc82fbce,the director is 
prompt_659af1eabd50b2180293,"Sue: Was Tim's bathroom unpleasant?
Mary: Tim's bathroom was "
prompt_66323c06c37a8e00ed7c,that plant is 
prompt_6687c41c215fb4c9bc18,that fabric is 
prompt_688f85d2ee80be65d6ff,that wine is 
prompt_698b8be3e62e148e260c,The train 
prompt_6aa492960e929d0d9716,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'Sure, they have their "
prompt_6b595c448108d920e068,the musician is 
prompt_6b640e6c5a51f055c739,She is 
prompt_6c1b3593d11d68cadaaa,this child is 
prompt_6cc85ab73d4e7fbd17d7,Phoebe 
prompt_6d032f07512360bb0a1c,"Sue: Did John complete the race?
Mary: John "
prompt_6d389c2043c750266834,His haircut was 
prompt_6d80c184c3718ce325c0,the actress 
prompt_6e261efd81dca8051d26,Tom's interview was 
prompt_6f5992006e03157c0366,"Sue: Is the wine palatable?
Mary: The wine is "
prompt_6fd514252c44029619a3,the car is 
prompt_705d5e3c1a579842d626,the boy is 
prompt_709ab170815ec17190c7,the bartender saw 
prompt_71317a193e7f4b2fe5d3,that question is 
prompt_71d6afaafee59b5ad4a9,"Sue: Was Ann's speech polished?
Mary: Ann's speech was "
prompt_721dd38f6e1cd385aeb9,the sand is 
prompt_738a4371eb54b48233b0,"Sue: Does the doctor dislike coffee?
Mary: The doctor "
prompt_739729bf2f10e6d80322,the manager 
prompt_747fcc8e2f89ae3b0473,"Sue: Is the weather cool?
Mary: The weather is "
prompt_752aae9e70bae7652559,The princess 
prompt_756a22f2d4f21f4a218b,The nights were 
prompt_77568553322e24e8190f,"Sue: Is the waiter willing?
Mary: The waiter is "
prompt_777a61df356187f82fac,The boy was 
prompt_77b713410523f573f451,His story was 
prompt_78eebe9cb8187c270621,"Sue: Was the measure supported unanimously?
Mary: The measure was supported "
prompt_7a508071659adb7b52a6,The shirt is 
prompt_7abd9e6d247ba9384d6d,"Sue: Does the club require dancing?
Mary: The club "
prompt_7ade7d887172c3ffdfc0,"Sue: Is the task difficult?
Mary: The task is "
prompt_7afd8befa5c668f87434,The melody was 
prompt_7b606437eb9b0fd82b1e,"Sue: Will the sales double?
Mary: The sales will "
prompt_7be07c75e713df8bc1f0,The sky is 
prompt_7bea3739964bf9d3157d,the puzzle is 
prompt_7c0787e202ddc7367361,"Sue: Is the elephant enormous?
Mary: The elephant is "
prompt_7c964a821ce9486cb678,"Sue: Is the worker tired?
Mary: The worker is "
prompt_7cdb0a04810e9e08cb10,"Sue: Was Stu's daughter scared?
Mary: Stu's daughter was "
