schema_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,human_outcome,human_yes,human_total,human_rate,human_count_status,trigger_logprob_sum,query_logprob_sum,trigger_logprob_mean,query_logprob_mean,trigger_token_count,query_token_count,trigger_tokenization_mode,query_tokenization_mode,x_but_not_y_applicable,x_but_not_y_prompt,x_but_not_y_logprob_sum,x_but_not_y_logprob_mean,x_but_not_y_token_count,x_but_not_y_tokenization_mode,model_name,model_revision,model_provenance_complete,source_human_file,source_score_file,analysis_inclusion_status,hu_original_analysis_included,has_hu_test_suite,human_rate_source_column,scale_id,template_id,human_trigger_lemma,human_query_lemma,x_but_not_y_trigger,x_but_not_y_query
1.1,hu_2023_benchmark,g18,scalar_inference,g18_001,g18::attractive/stunning,g18_001,no_frame,He is ,attractive,stunning,query_excluded,,,0.08,rate_only,-9.493115425109863,-12.254834175109863,-9.493115425109863,-12.254834175109863,1,1,exact_concat,exact_concat,True,"He is attractive, but not ",-6.445921897888184,-6.445921897888184,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,attractive/stunning,default,attractive,stunning,attractive,stunning
1.1,hu_2023_benchmark,g18,scalar_inference,g18_002,g18::drunk/plastered,g18_002,no_frame,He is ,drunk,plastered,query_excluded,,,0.11,rate_only,-9.493115425109863,-15.395350456237791,-9.493115425109863,-7.697675228118896,1,2,exact_concat,exact_concat,True,"He is drunk, but not ",-10.54140517138876,-5.27070258569438,2,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,drunk/plastered,default,drunk,plastered,drunk,plastered
1.1,hu_2023_benchmark,g18,scalar_inference,g18_003,g18::thin/skinny,g18_003,no_frame,She is ,thin,skinny,query_excluded,,,0.11,rate_only,-8.61530590057373,-10.48639965057373,-8.61530590057373,-10.48639965057373,1,1,exact_concat,exact_concat,True,"She is thin, but not ",-4.904987335205078,-4.904987335205078,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,thin/skinny,default,thin,skinny,thin,skinny
1.1,hu_2023_benchmark,g18,scalar_inference,g18_004,g18::transparent/crystal clear,g18_004,no_frame,It is ,transparent,crystal clear,query_excluded,,,0.11,rate_only,-14.211277961730955,-12.1108950227499,-14.211277961730955,-6.05544751137495,1,2,exact_concat,exact_concat,True,"It is transparent, but not ",-5.149146288633347,-2.5745731443166733,2,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,excluded_hu_original_missing_gpt2_surprisal,False,True,si_rate,transparent/crystal clear,default,transparent,crystal clear,transparent,crystal clear
1.1,hu_2023_benchmark,g18,scalar_inference,g18_005,g18::ajar/open,g18_005,no_frame,It is ,ajar,open,query_excluded,,,0.11,rate_only,-17.913222789764404,-9.867527961730955,-8.956611394882202,-9.867527961730955,2,1,exact_concat,exact_concat,True,"It is ajar, but not ",-1.5423088073730469,-1.5423088073730469,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,ajar/open,default,ajar,open,ajar,open
1.1,hu_2023_benchmark,g18,scalar_inference,g18_006,g18::big/enormous,g18_006,no_frame,She is ,big,enormous,query_excluded,,,0.14,rate_only,-8.49030590057373,-12.96686840057373,-8.49030590057373,-12.96686840057373,1,1,exact_concat,exact_concat,True,"She is big, but not ",-8.343681335449219,-8.343681335449219,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,big/enormous,default,big,enormous,big,enormous
1.1,hu_2023_benchmark,g18,scalar_inference,g18_007,g18::dirty/filthy,g18_007,no_frame,It is ,dirty,filthy,query_excluded,,,0.14,rate_only,-12.836277961730955,-15.758152961730955,-12.836277961730955,-15.758152961730955,1,1,exact_concat,exact_concat,True,"It is dirty, but not ",-4.236985206604004,-4.236985206604004,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,dirty/filthy,default,dirty,filthy,dirty,filthy
1.1,hu_2023_benchmark,g18,scalar_inference,g18_008,g18::fat/obese,g18_008,no_frame,He is ,fat,obese,query_excluded,,,0.16,rate_only,-8.977490425109863,-11.018506050109863,-8.977490425109863,-11.018506050109863,1,1,exact_concat,exact_concat,True,"He is fat, but not ",-4.771740913391113,-4.771740913391113,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,fat/obese,default,fat,obese,fat,obese
1.1,hu_2023_benchmark,g18,scalar_inference,g18_009,g18::tasty/delicious,g18_009,no_frame,That is ,tasty,delicious,query_excluded,,,0.16,rate_only,-12.50705337524414,-9.60666275024414,-12.50705337524414,-9.60666275024414,1,1,exact_concat,exact_concat,True,"That is tasty, but not ",-5.071489810943604,-5.071489810943604,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,tasty/delicious,default,tasty,delicious,tasty,delicious
1.1,hu_2023_benchmark,g18,scalar_inference,g18_010,g18::damaged/broken,g18_010,no_frame,It is ,damaged,broken,query_excluded,,,0.16,rate_only,-14.906590461730955,-12.164402961730955,-14.906590461730955,-12.164402961730955,1,1,exact_concat,exact_concat,True,"It is damaged, but not ",-2.3310701847076416,-2.3310701847076416,1,exact_concat,Qwen2-7B,453ed1575b739b5b03ce3758b23befdb0967f40e,True,experiment_ronai&xiang/jen_hu_modeling/data_processed/hu_cross_scale_items.csv,focus_alt_exp_pipeline/model_scores/hu_rnx_no_frame_qwen_scores.csv;focus_alt_exp_pipeline/model_scores/focus_hu_remaining_qwen_scores.csv,included_hu_original_string_analysis,True,True,si_rate,damaged/broken,default,damaged,broken,damaged,broken
