manifest_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,analysis_inclusion_status,has_hu_test_suite,source_prompt_file,source_row_id,prompt_provenance
1.0,hu_2023_benchmark,g18,scalar_inference,g18_001,g18::attractive/stunning,g18_001,no_frame,He is ,attractive,stunning,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_001,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_002,g18::drunk/plastered,g18_002,no_frame,He is ,drunk,plastered,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_002,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_003,g18::thin/skinny,g18_003,no_frame,She is ,thin,skinny,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_003,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_004,g18::transparent/crystal clear,g18_004,no_frame,It is ,transparent,crystal clear,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_004,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_005,g18::ajar/open,g18_005,no_frame,It is ,ajar,open,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_005,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_006,g18::big/enormous,g18_006,no_frame,She is ,big,enormous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_006,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_007,g18::dirty/filthy,g18_007,no_frame,It is ,dirty,filthy,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_007,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_008,g18::fat/obese,g18_008,no_frame,He is ,fat,obese,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_008,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_009,g18::tasty/delicious,g18_009,no_frame,That is ,tasty,delicious,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_009,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_010,g18::damaged/broken,g18_010,no_frame,It is ,damaged,broken,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_010,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_011,g18::special/unique,g18_011,no_frame,It is ,special,unique,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_011,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_012,g18::snug/tight,g18_012,no_frame,It is ,snug,tight,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_012,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_013,g18::happy/delighted,g18_013,no_frame,He is ,happy,delighted,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_013,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_014,g18::intelligent/brilliant,g18_014,no_frame,He is ,intelligent,brilliant,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_014,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_015,g18::pretty/gorgeous,g18_015,no_frame,She is ,pretty,gorgeous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_015,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_016,g18::ugly/hideous,g18_016,no_frame,He is ,ugly,hideous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_016,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_017,g18::unkind/nasty,g18_017,no_frame,He is ,unkind,nasty,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_017,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_018,g18::dry/parched,g18_018,no_frame,It is ,dry,parched,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_018,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_019,g18::large/gigantic,g18_019,no_frame,It is ,large,gigantic,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_019,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_020,g18::content/happy,g18_020,no_frame,He is ,content,happy,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_020,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_021,g18::small/tiny,g18_021,no_frame,It is ,small,tiny,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_021,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_022,g18::wet/soaked,g18_022,no_frame,It is ,wet,soaked,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_022,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_023,g18::calm/unflappable,g18_023,no_frame,She is ,calm,unflappable,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_023,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_024,g18::sickish/sick,g18_024,no_frame,He is ,sickish,sick,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_024,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_025,g18::clean/spotless,g18_025,no_frame,It is ,clean,spotless,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_025,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_026,g18::funny/hilarious,g18_026,no_frame,That is ,funny,hilarious,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_026,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_027,g18::light/white,g18_027,no_frame,That is ,light,white,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_027,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_028,g18::rainy/pouring,g18_028,no_frame,It is ,rainy,pouring,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_028,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_029,g18::unhappy/miserable,g18_029,no_frame,She is ,unhappy,miserable,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_029,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_030,g18::tired/exhausted,g18_030,no_frame,He is ,tired,exhausted,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_030,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_031,g18::damp/wet,g18_031,no_frame,It is ,damp,wet,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_031,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_032,g18::poor/destitute,g18_032,no_frame,She is ,poor,destitute,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_032,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_033,g18::old/ancient,g18_033,no_frame,That is ,old,ancient,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_033,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_034,g18::scared/petrified,g18_034,no_frame,She is ,scared,petrified,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_034,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_035,g18::silly/idiotic,g18_035,no_frame,That is ,silly,idiotic,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_035,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_036,g18::chubby/fat,g18_036,no_frame,She is ,chubby,fat,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_036,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_037,g18::loud/defeaning,g18_037,no_frame,It is ,loud,defeaning,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_037,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_038,g18::hot/scalding,g18_038,no_frame,It is ,hot,scalding,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_038,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_039,g18::memorable/unforgettable,g18_039,no_frame,It is ,memorable,unforgettable,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_039,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_040,g18::dark/black,g18_040,no_frame,That is ,dark,black,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_040,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_041,g18::hungry/starving,g18_041,no_frame,He is ,hungry,starving,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_041,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_042,g18::tipsy/drunk,g18_042,no_frame,She is ,tipsy,drunk,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_042,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_043,g18::silly/ridiculous,g18_043,no_frame,It is ,silly,ridiculous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_043,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_044,g18::faulty/non-functional,g18_044,no_frame,It is ,faulty,non-functional,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_044,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_045,g18::cool/cold,g18_045,no_frame,It is ,cool,cold,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_045,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_046,g18::adequate/good,g18_046,no_frame,It is ,adequate,good,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_046,weak_sentence_slot_from_first_clause
1.0,hu_2023_benchmark,g18,scalar_inference,g18_047,g18::sick/terminally ill,g18_047,no_frame,She is ,sick,terminally ill,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_no_frame_strong_prompts.csv,g18_047,weak_sentence_slot_from_first_clause
