manifest_version,dataset_family,dataset,condition,item_id,group_id,context_id,generation_frame,generation_prompt,trigger,query,analysis_inclusion_status,has_hu_test_suite,source_prompt_file,source_row_id,prompt_provenance,score_trigger,score_query
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_001__template_default__attractive_stunning::x_but_not_y,g18::attractive/stunning,g18_001,x_but_not_y,"He is attractive, but not ",attractive,stunning,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_001__template_default__attractive_stunning,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_002__template_default__drunk_plastered::x_but_not_y,g18::drunk/plastered,g18_002,x_but_not_y,"He is drunk, but not ",drunk,plastered,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_002__template_default__drunk_plastered,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_003__template_default__thin_skinny::x_but_not_y,g18::thin/skinny,g18_003,x_but_not_y,"She is thin, but not ",thin,skinny,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_003__template_default__thin_skinny,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_004__template_default__transparent_crystal clear::x_but_not_y,g18::transparent/crystal clear,g18_004,x_but_not_y,"It is transparent, but not ",transparent,crystal clear,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_004__template_default__transparent_crystal clear,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_005__template_default__ajar_open::x_but_not_y,g18::ajar/open,g18_005,x_but_not_y,"It is ajar, but not ",ajar,open,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_005__template_default__ajar_open,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_006__template_default__big_enormous::x_but_not_y,g18::big/enormous,g18_006,x_but_not_y,"She is big, but not ",big,enormous,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_006__template_default__big_enormous,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_007__template_default__dirty_filthy::x_but_not_y,g18::dirty/filthy,g18_007,x_but_not_y,"It is dirty, but not ",dirty,filthy,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_007__template_default__dirty_filthy,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_008__template_default__fat_obese::x_but_not_y,g18::fat/obese,g18_008,x_but_not_y,"He is fat, but not ",fat,obese,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_008__template_default__fat_obese,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_009__template_default__tasty_delicious::x_but_not_y,g18::tasty/delicious,g18_009,x_but_not_y,"That is tasty, but not ",tasty,delicious,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_009__template_default__tasty_delicious,hu_test_suite_region_5;query_only_standardized_rescore,False,True
1.1,hu_2023_benchmark,g18,scalar_inference,g18__g18_010__template_default__damaged_broken::x_but_not_y,g18::damaged/broken,g18_010,x_but_not_y,"It is damaged, but not ",damaged,broken,pending_hu_exact_filter_suite_available,1.0,experiment_ronai&xiang/jen_hu_modeling/stimuli/qwen_exact_strong_prompts.csv,g18__g18_010__template_default__damaged_broken,hu_test_suite_region_5;query_only_standardized_rescore,False,True
