analysis_dataset_id,dataset,N,mean_oof_log_score,mean_prediction,mean_human_rate
hu_g18,Hu: Gotzner et al. (2018),67,-0.6720301870698223,0.3914869504934344,0.39134328358208953
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,-0.6385076332795867,0.33178133117999997,0.33178133117999997
hu_rx22,Hu: Ronai & Xiang (2022),57,-0.672352280986842,0.38011083988251165,0.38026315789473686
hu_vt16,Hu: van Tiel et al. (2016),39,-0.6871240421682847,0.42066666666666663,0.42
novel_focus,Novel focus alternatives,480,-0.6958335335974757,0.5039083302569177,0.5040436414183511
rnx_eonly,Ronai & Xiang (2024): Eonly,60,-0.625649160337732,0.6841666666666667,0.6841666666666666
rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,60,-0.3551492429241023,0.8862500000000001,0.88625
rnx_esi,Ronai & Xiang (2024): ESI,60,-0.6719002065504678,0.3870833333333332,0.38708333333333333
rnx_estrong,Ronai & Xiang (2024): Estrong,60,-0.671962959319327,0.6131868131899999,0.61318681319
rnx_eweak,Ronai & Xiang (2024): Eweak,60,-0.6486255022134267,0.34566544566,0.34566544566
