context,model,structure,variant,n,spearman_rho,status,predictor,viewer_word_rho,sampling_word_rho
bag,Qwen2-7B,No linking structure,direct,30,0.874424109031,defined,No linking,0.942857142857,1.0
bakery,Qwen2-7B,No linking structure,direct,30,0.923006721899,defined,No linking,1.0,0.942857142857
beach,Qwen2-7B,No linking structure,direct,30,0.507917981275,defined,No linking,0.942857142857,0.714285714286
cold,Qwen2-7B,No linking structure,direct,30,0.249689334314,defined,No linking,-0.028571428571,0.028571428571
cut,Qwen2-7B,No linking structure,direct,30,0.727189367225,defined,No linking,0.714285714286,0.828571428571
fridge,Qwen2-7B,No linking structure,direct,30,0.859511671632,defined,No linking,1.0,0.885714285714
gym,Qwen2-7B,No linking structure,direct,30,0.533527211846,defined,No linking,0.942857142857,0.771428571429
hot,Qwen2-7B,No linking structure,direct,30,0.421078951021,defined,No linking,0.371428571429,0.428571428571
mall,Qwen2-7B,No linking structure,direct,30,0.524702788406,defined,No linking,0.542857142857,0.542857142857
mask,Qwen2-7B,No linking structure,direct,30,0.271503273675,defined,No linking,0.314285714286,0.657142857143
meat,Qwen2-7B,No linking structure,direct,30,0.171713264081,defined,No linking,0.257142857143,0.257142857143
restaurant,Qwen2-7B,No linking structure,direct,30,0.769245053287,defined,No linking,0.828571428571,0.714285714286
salad,Qwen2-7B,No linking structure,direct,30,0.63961769615,defined,No linking,0.942857142857,0.485714285714
science,Qwen2-7B,No linking structure,direct,30,0.494437911072,defined,No linking,0.942857142857,0.942857142857
throw,Qwen2-7B,No linking structure,direct,30,0.683400502879,defined,No linking,0.714285714286,0.771428571429
transport,Qwen2-7B,No linking structure,direct,30,0.709917942772,defined,No linking,0.885714285714,0.885714285714
bag,Qwen2-7B,X but not Y,direct,30,0.746424823025,defined,X but not Y,0.942857142857,1.0
bakery,Qwen2-7B,X but not Y,direct,30,0.741780755003,defined,X but not Y,1.0,0.942857142857
beach,Qwen2-7B,X but not Y,direct,30,0.353685807936,defined,X but not Y,0.942857142857,0.714285714286
cold,Qwen2-7B,X but not Y,direct,30,0.761478230845,defined,X but not Y,-0.028571428571,0.028571428571
cut,Qwen2-7B,X but not Y,direct,30,0.630118261471,defined,X but not Y,0.714285714286,0.828571428571
fridge,Qwen2-7B,X but not Y,direct,30,0.81616261436,defined,X but not Y,1.0,0.885714285714
gym,Qwen2-7B,X but not Y,direct,30,0.615520560524,defined,X but not Y,0.942857142857,0.771428571429
hot,Qwen2-7B,X but not Y,direct,30,0.548677003101,defined,X but not Y,0.371428571429,0.428571428571
mall,Qwen2-7B,X but not Y,direct,30,0.332374990917,defined,X but not Y,0.542857142857,0.542857142857
mask,Qwen2-7B,X but not Y,direct,30,0.005380106858,defined,X but not Y,0.314285714286,0.657142857143
meat,Qwen2-7B,X but not Y,direct,30,0.37521073754,defined,X but not Y,0.257142857143,0.257142857143
restaurant,Qwen2-7B,X but not Y,direct,30,0.480074274261,defined,X but not Y,0.828571428571,0.714285714286
salad,Qwen2-7B,X but not Y,direct,30,0.735287897306,defined,X but not Y,0.942857142857,0.485714285714
science,Qwen2-7B,X but not Y,direct,30,0.239971938611,defined,X but not Y,0.942857142857,0.942857142857
throw,Qwen2-7B,X but not Y,direct,30,0.323213996371,defined,X but not Y,0.714285714286,0.771428571429
transport,Qwen2-7B,X but not Y,direct,30,0.635158563372,defined,X but not Y,0.885714285714,0.885714285714
bag,Qwen2-7B,ordering,top_k,30,0.741111378666,defined,Ordering,0.942857142857,1.0
bakery,Qwen2-7B,ordering,top_k,30,0.641621951529,defined,Ordering,1.0,0.942857142857
beach,Qwen2-7B,ordering,top_k,30,0.302969867157,defined,Ordering,0.942857142857,0.714285714286
cold,Qwen2-7B,ordering,top_k,30,0.251213446276,defined,Ordering,-0.028571428571,0.028571428571
cut,Qwen2-7B,ordering,top_k,30,0.477513494943,defined,Ordering,0.714285714286,0.828571428571
fridge,Qwen2-7B,ordering,top_k,30,0.744753504616,defined,Ordering,1.0,0.885714285714
